1.0.1	pṛthvī [17: jsjsylg]
1.3.12	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.14	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.15	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.16	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.3.17	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.20	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.21	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.22	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.3.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.27	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.3.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.31	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.37	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.38	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.39	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.40	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.3.41	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.43	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.44	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.45	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.47	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.48	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.3.49	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.50	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.51	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.52	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.53	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.3.54	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.55	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.56	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.3.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.58	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.3.59	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.3.60	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.61	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.62	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.3.63	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.64	āryā (12, 18, 12, 15)
1.3.65	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.68	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.69	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.3.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.71	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.3.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.73	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.3.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.75	āryā (12, 18, 12, 15)
1.3.76	āryā (12, 18, 12, 15)
1.3.77	āryā (12, 18, 12, 15)
1.3.78	āryā (12, 18, 12, 15)
1.3.79	aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4
1.4.1	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
